City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chowchilla,US,37.123,-120.2602,100.02,29,0,10.36,clear sky
2,Sitka,US,57.0531,-135.33,57.09,77,100,10.36,overcast clouds
3,Fairbanks,US,64.8378,-147.7164,80.46,43,100,0.0,smoke
6,Lompoc,US,34.6391,-120.4579,89.74,57,0,13.8,clear sky
7,Marysville,US,48.0518,-122.1771,74.17,78,100,4.61,overcast clouds
8,Carlyle,US,38.6103,-89.3726,83.25,45,16,12.57,few clouds
10,Jonesboro,US,35.8423,-90.7043,89.37,59,20,11.16,few clouds
11,Hilo,US,19.7297,-155.09,81.25,75,100,8.01,overcast clouds
13,Palmer,US,42.1584,-72.3287,74.62,74,100,9.22,overcast clouds
18,Kodiak,US,57.79,-152.4072,49.51,93,100,5.75,overcast clouds
22,Barrow,US,71.2906,-156.7887,37.42,93,100,4.61,fog
24,Kahului,US,20.8947,-156.47,86.02,57,20,11.5,few clouds
26,Fortuna,US,40.5982,-124.1573,65.32,82,40,18.41,scattered clouds
29,Rock Falls,US,41.7798,-89.689,73.38,49,0,4.61,clear sky
33,College,US,64.8569,-147.8028,80.46,44,100,0.0,smoke
35,Hobbs,US,32.7026,-103.136,96.89,21,0,16.11,clear sky
36,Vermilion,US,40.1667,-87.7506,76.6,56,0,14.97,clear sky
37,Van Wert,US,40.8695,-84.5841,74.21,54,40,11.5,scattered clouds
38,Hamilton,US,39.1834,-84.5333,82.38,51,0,8.99,clear sky
41,Merrill,US,45.1805,-89.6835,73.89,41,0,9.22,clear sky
42,Vicksburg,US,32.3526,-90.8779,93.43,75,0,8.05,clear sky
45,Abilene,US,32.4487,-99.7331,99.88,32,0,13.8,clear sky
46,Moses Lake,US,47.1301,-119.2781,83.08,32,20,11.5,few clouds
47,Elko,US,41.0002,-115.5012,86.05,20,54,14.0,broken clouds
49,Dickinson,US,29.4608,-95.0513,97.12,64,40,3.44,scattered clouds
50,Mastic Beach,US,40.7668,-72.8521,75.34,91,100,6.91,mist
51,Jamestown,US,42.097,-79.2353,62.02,79,100,12.66,overcast clouds
52,Fairhope,US,30.523,-87.9033,82.15,86,75,8.05,broken clouds
55,Kapaa,US,22.0752,-159.319,82.72,75,20,12.66,light rain
57,Sterling,US,39.0062,-77.4286,94.68,63,75,8.05,broken clouds
59,Silver City,US,32.7701,-108.2803,91.02,34,75,17.27,broken clouds
60,Rapid Valley,US,44.0625,-103.1463,92.43,39,0,25.32,clear sky
61,Sheridan,US,44.8333,-106.9173,98.31,28,23,1.99,few clouds
62,Mountain Home,US,43.133,-115.6912,83.68,28,40,14.97,scattered clouds
64,Houma,US,29.5958,-90.7195,97.0,55,67,9.98,broken clouds
66,Socorro,US,31.6546,-106.3033,91.38,48,75,9.22,broken clouds
69,Sunrise Manor,US,36.2111,-115.0731,109.4,3,0,23.02,clear sky
71,Uvalde,US,29.3669,-99.767,97.41,34,75,12.66,broken clouds
73,Fort Smith,US,35.3859,-94.3986,88.34,61,0,9.22,clear sky
74,Kenai,US,60.5544,-151.2583,61.02,77,100,5.75,light rain
75,Cheyenne,US,41.14,-104.8203,82.98,42,20,10.36,few clouds
76,Pacific Grove,US,36.6177,-121.9166,79.65,67,0,10.36,clear sky
79,Eureka,US,40.8021,-124.1637,70.2,79,47,5.01,scattered clouds
82,Ahuimanu,US,21.4447,-157.8378,83.91,58,100,16.11,overcast clouds
83,Taos,US,36.4072,-105.5731,83.19,52,20,10.36,few clouds
85,Ascension,US,30.2169,-90.9001,97.05,56,0,5.75,clear sky
90,San Angelo,US,31.4638,-100.437,101.37,32,0,7.0,clear sky
96,Bullhead City,US,35.1478,-114.5683,114.08,12,0,10.0,clear sky
97,Ketchikan,US,55.3422,-131.6461,57.67,82,100,11.5,light rain
98,Columbia,US,34.0007,-81.0348,95.0,60,75,5.75,light rain
100,Flagstaff,US,35.1981,-111.6513,88.84,33,0,12.66,clear sky
101,Kingsport,US,36.5484,-82.5618,82.96,94,100,0.0,thunderstorm
102,Bethel,US,41.3712,-73.414,74.64,93,75,5.75,mist
105,Searcy,US,35.2506,-91.7363,78.8,89,40,10.63,scattered clouds
106,Pacifica,US,37.6138,-122.4869,85.01,66,20,25.32,few clouds
107,Washougal,US,45.5826,-122.3534,79.2,55,100,5.01,overcast clouds
108,Kailua,US,21.4022,-157.7394,84.18,59,100,11.5,overcast clouds
109,Excelsior Springs,US,39.3392,-94.2261,79.5,48,95,9.22,overcast clouds
110,Brigantine,US,39.4101,-74.3646,84.4,80,0,10.36,clear sky
111,La Quinta,US,33.6634,-116.31,111.56,11,0,3.44,clear sky
112,Oil City,US,41.4339,-79.7064,63.41,70,100,13.8,overcast clouds
113,New Richmond,US,45.123,-92.5366,72.93,40,0,0.0,clear sky
114,Winnemucca,US,40.973,-117.7357,84.25,21,0,11.5,clear sky
115,Batavia,US,41.85,-88.3126,73.54,52,20,9.22,few clouds
116,Hailey,US,43.5196,-114.3153,82.8,31,100,16.58,overcast clouds
117,Muskego,US,42.9058,-88.139,70.41,62,0,7.38,clear sky
120,Cedar City,US,37.6775,-113.0619,92.37,17,0,24.16,clear sky
122,Central Point,US,42.376,-122.9164,85.62,32,0,8.05,clear sky
123,Price,US,39.5994,-110.8107,89.11,18,40,12.66,scattered clouds
124,Saint Simons,US,31.1352,-81.3901,89.65,72,0,13.8,clear sky
128,Tracy,US,37.7397,-121.4252,97.05,29,0,5.99,clear sky
130,North Bend,US,43.4065,-124.2243,78.98,77,0,12.66,clear sky
131,Orangeburg,US,33.4918,-80.8557,95.29,65,80,4.0,broken clouds
135,Half Moon Bay,US,37.4636,-122.4286,87.42,55,0,25.32,clear sky
136,Miles City,US,46.4083,-105.8406,88.77,35,0,17.27,clear sky
137,Pahrump,US,36.2083,-115.9839,102.25,9,0,10.0,clear sky
139,Brownwood,US,31.7093,-98.9912,100.4,41,40,8.05,scattered clouds
143,Long Beach,US,33.767,-118.1892,94.12,61,0,13.8,clear sky
149,Rancho Palos Verdes,US,33.7445,-118.387,86.32,73,20,13.8,few clouds
153,Bismarck,US,46.8083,-100.7837,73.87,54,40,24.16,scattered clouds
154,Redmond,US,47.674,-122.1215,75.72,69,88,1.99,overcast clouds
155,Englewood,US,39.6478,-104.9878,88.97,40,75,9.22,broken clouds
160,Susanville,US,40.4163,-120.653,85.82,26,100,4.0,overcast clouds
161,Mayo,US,38.8876,-76.5119,91.51,73,75,13.8,broken clouds
